"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "comment", "blank", "total"
"d:\IT\Route\Assignments\React\react-notes-app\src\App.js", "JavaScript", 23, 0, 0, 0, 17, 40
"d:\IT\Route\Assignments\React\react-notes-app\src\components\Home.jsx", "JavaScript JSX", 0, 209, 0, 3, 42, 254
"d:\IT\Route\Assignments\React\react-notes-app\src\components\Login.jsx", "JavaScript JSX", 0, 97, 0, 8, 29, 134
"d:\IT\Route\Assignments\React\react-notes-app\src\components\Navbar.jsx", "JavaScript JSX", 0, 48, 0, 0, 20, 68
"d:\IT\Route\Assignments\React\react-notes-app\src\components\NotFound.jsx", "JavaScript JSX", 0, 15, 0, 0, 7, 22
"d:\IT\Route\Assignments\React\react-notes-app\src\components\ProtectedRoute.jsx", "JavaScript JSX", 0, 9, 0, 0, 3, 12
"d:\IT\Route\Assignments\React\react-notes-app\src\components\Register.jsx", "JavaScript JSX", 0, 116, 0, 0, 19, 135
"d:\IT\Route\Assignments\React\react-notes-app\src\index.css", "CSS", 0, 0, 390, 12, 64, 466
"d:\IT\Route\Assignments\React\react-notes-app\src\index.js", "JavaScript", 16, 0, 0, 0, 6, 22
"Total", "-", 39, 494, 390, 23, 207, 1153
